,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents Advice,Internet usage,Finances,Age,Siblings,Gender,Village - town
87,5,2,5,5,,3,3,1,3,few hours a day,2,18,3,female,village
88,5,5,5,5,1,5,5,5,5,few hours a day,1,21,0,female,city
89,5,1,5,3,1,2,2,3,4,few hours a day,4,22,2,female,village
90,4,1,4,1,1,3,5,3,3,most of the day,1,19,3,female,village
91,5,1,5,1,1,1,5,2,4,few hours a day,5,18,4,female,village
92,5,1,5,4,3,3,1,4,4,few hours a day,4,19,0,female,city
93,5,1,4,2,4,3,2,3,2,few hours a day,4,24,2,male,village
94,5,4,5,3,1,3,2,2,1,most of the day,3,21,1,male,city
95,5,2,5,4,1,4,4,4,2,few hours a day,1,21,1,male,city
96,5,4,2,1,1,1,4,2,2,few hours a day,1,19,1,male,city
97,5,2,5,3,4,5,2,5,3,most of the day,2,19,1,male,village
98,3,3,3,1,1,1,5,5,1,few hours a day,3,22,1,male,village
99,5,1,3,3,5,4,5,3,4,less than an hour a day,4,18,1,female,city
100,5,2,5,3,2,2,4,3,4,few hours a day,4,21,1,female,city
101,5,1,4,5,1,3,5,3,3,few hours a day,2,18,1,male,village
102,5,1,5,5,4,1,1,3,3,few hours a day,3,20,0,female,city
103,5,4,5,5,2,1,4,2,5,few hours a day,4,22,0,male,city
104,4,3,4,5,2,2,1,1,4,few hours a day,2,21,1,male,village
105,5,1,4,4,1,4,1,2,3,few hours a day,4,24,1,male,village
106,5,3,5,4,3,1,2,4,3,few hours a day,4,19,1,male,city
107,5,1,3,1,1,4,1,1,5,less than an hour a day,1,18,1,female,city
108,4,2,5,1,3,3,5,5,2,few hours a day,1,17,1,female,city
109,5,1,5,3,2,1,1,4,3,few hours a day,4,18,0,male,city
110,5,4,4,3,2,3,4,3,3,few hours a day,4,21,1,male,city
111,5,4,4,3,1,1,5,5,3,most of the day,2,22,1,female,village
112,5,4,5,2,2,3,4,3,3,less than an hour a day,4,20,1,female,city
113,3,5,4,2,1,5,3,2,4,few hours a day,2,21,1,female,village
114,5,1,5,5,1,5,5,2,4,less than an hour a day,4,19,1,female,city
115,5,3,5,2,1,3,5,5,3,few hours a day,3,17,0,female,city
116,5,1,4,2,1,4,5,5,4,few hours a day,3,21,1,female,city
117,5,1,4,2,5,5,3,4,4,few hours a day,3,18,3,female,village
118,5,1,5,3,4,4,2,3,3,few hours a day,4,23,1,male,city
119,4,3,3,4,4,3,2,2,4,few hours a day,5,16,1,female,village
120,5,3,3,5,5,5,1,2,2,most of the day,4,23,0,male,city
121,4,3,4,1,4,3,1,2,2,few hours a day,2,21,2,male,city
122,5,1,4,5,1,4,2,2,3,few hours a day,4,23,0,female,city
123,5,1,3,2,1,4,1,3,3,few hours a day,4,20,0,female,village
124,4,1,4,4,1,4,1,2,3,few hours a day,3,20,4,male,city
125,5,2,5,4,2,5,4,3,4,few hours a day,3,20,1,female,city
126,3,1,3,5,2,1,1,4,3,few hours a day,4,20,2,female,village
127,4,3,5,4,3,2,2,3,2,most of the day,2,19,1,female,city
128,5,5,5,4,3,5,1,5,3,few hours a day,5,15,3,female,city
129,5,1,5,4,1,5,2,2,3,less than an hour a day,3,20,1,female,village
130,4,3,5,5,2,1,4,1,4,few hours a day,4,19,1,female,village
131,5,3,5,1,1,3,2,3,2,few hours a day,4,18,2,male,village
132,5,1,5,1,4,5,5,5,2,most of the day,5,15,1,female,village
133,5,1,5,4,1,4,4,2,4,less than an hour a day,2,20,2,female,city
134,5,4,5,3,1,4,5,5,1,few hours a day,1,16,1,female,village
135,5,1,4,5,3,5,5,3,3,few hours a day,4,18,1,male,village
136,5,1,5,4,2,3,5,4,4,few hours a day,3,21,1,male,village
137,5,2,2,4,3,1,3,5,5,few hours a day,4,,,,village
138,5,1,5,2,1,3,1,4,5,few hours a day,4,20,4,female,village
139,5,3,5,1,2,5,3,4,4,few hours a day,2,19,1,female,village
140,5,3,5,5,2,5,2,3,4,few hours a day,3,19,3,female,city
141,3,2,3,3,5,5,1,3,3,few hours a day,1,19,1,female,city
142,5,2,4,1,2,1,4,3,2,most of the day,2,,,male,city
143,5,3,,,1,5,5,3,3,most of the day,2,20,1,female,city
144,5,4,5,3,1,3,1,4,1,few hours a day,5,21,1,male,city
145,1,3,4,2,1,2,5,3,3,few hours a day,2,19,1,female,village
146,5,,5,5,1,4,1,3,2,few hours a day,5,21,1,male,city
147,5,1,5,4,5,3,2,4,4,most of the day,4,18,2,male,city
148,4,3,4,3,4,1,2,2,4,few hours a day,4,20,3,male,village
149,2,1,3,2,5,1,1,3,3,few hours a day,3,19,5,male,city
150,5,1,5,2,3,1,5,2,3,few hours a day,3,22,1,female,city
151,5,2,5,4,2,3,3,3,3,few hours a day,4,20,1,male,city
152,5,2,5,5,2,4,2,5,4,few hours a day,2,25,2,male,city
153,2,3,3,5,1,1,5,4,4,few hours a day,3,21,0,female,city
154,5,1,4,5,3,3,5,2,3,few hours a day,4,24,1,male,city
155,5,2,4,4,3,4,2,5,5,few hours a day,5,19,1,female,city
156,5,1,5,5,1,4,1,5,3,few hours a day,4,25,1,male,city
157,5,1,5,3,2,2,2,2,4,most of the day,4,26,2,male,village
158,5,5,5,1,3,5,5,5,3,few hours a day,2,15,2,female,village
159,5,3,5,4,3,5,2,2,3,few hours a day,3,20,1,male,city
160,5,3,5,4,5,1,1,3,2,few hours a day,3,19,1,male,city
161,5,3,5,2,1,5,4,5,3,few hours a day,3,20,2,female,city
162,4,1,4,5,1,2,2,3,2,few hours a day,4,21,0,male,city
163,5,5,4,5,1,1,4,4,4,most of the day,3,22,1,male,city
164,5,3,5,3,1,4,2,3,4,most of the day,2,20,1,male,village
165,5,2,5,3,2,2,4,1,5,few hours a day,3,20,1,female,city
166,5,1,4,2,2,1,4,3,4,few hours a day,5,21,1,female,city
167,3,3,3,3,1,4,4,4,2,few hours a day,4,21,1,male,village
168,5,1,5,3,1,1,1,5,3,most of the day,3,20,0,female,city
169,5,1,5,4,1,4,5,4,3,few hours a day,5,19,2,female,village
170,4,1,3,5,5,4,3,4,4,few hours a day,5,19,1,male,city
171,5,1,5,4,1,1,1,4,3,few hours a day,3,20,0,male,city
172,5,1,3,5,3,3,1,5,4,most of the day,4,22,1,male,village
173,5,5,5,3,4,5,2,4,4,most of the day,3,21,1,male,city
174,5,1,5,5,1,3,5,3,3,few hours a day,3,26,0,male,city
175,5,2,4,1,1,5,3,3,3,few hours a day,5,17,2,female,city
176,5,2,5,1,5,4,1,2,4,less than an hour a day,4,22,2,male,village
177,5,1,5,3,1,5,1,3,3,few hours a day,3,26,2,male,city
178,4,1,3,4,3,3,2,3,3,few hours a day,4,20,1,female,city
179,4,4,4,5,2,4,5,2,3,few hours a day,5,22,1,male,city
180,4,1,4,4,4,1,1,3,2,few hours a day,4,21,0,male,city
181,5,3,4,4,2,2,1,2,4,few hours a day,3,23,0,male,city
182,5,1,5,3,2,5,5,2,4,few hours a day,2,19,0,female,city
183,5,4,5,5,2,5,3,2,2,few hours a day,4,20,1,male,city
184,5,1,5,3,1,2,2,5,3,few hours a day,2,21,0,female,city
185,3,3,5,2,5,5,3,2,3,less than an hour a day,3,19,2,female,city
186,4,2,4,3,1,4,5,2,3,less than an hour a day,3,29,2,female,city
187,5,5,4,5,1,2,1,5,3,few hours a day,2,22,1,female,city
188,3,1,2,4,1,,2,2,4,less than an hour a day,5,19,2,female,village
189,5,1,5,4,3,1,3,4,3,few hours a day,4,17,1,female,city
190,4,2,4,3,5,2,5,4,4,few hours a day,4,16,1,female,city
191,5,1,4,3,1,2,1,2,5,less than an hour a day,1,29,2,female,village
192,5,4,5,3,1,5,5,5,3,few hours a day,5,18,2,female,city
193,5,1,5,3,1,5,1,3,3,few hours a day,3,26,2,male,city
194,5,1,5,2,1,1,3,3,4,few hours a day,3,19,1,male,city
195,5,1,4,3,1,1,5,3,3,few hours a day,2,19,1,male,city
196,5,3,5,4,1,1,4,2,3,few hours a day,4,20,0,female,city
197,5,1,5,2,1,4,4,3,4,few hours a day,3,22,0,female,city
198,5,2,3,4,1,4,5,1,2,few hours a day,1,20,1,male,village
199,5,4,4,2,1,3,2,3,2,less than an hour a day,1,21,1,male,village
200,4,2,5,3,1,5,1,5,2,most of the day,4,21,2,male,city
201,5,2,5,4,1,5,1,3,4,few hours a day,2,18,0,,village
202,5,4,5,2,1,4,4,3,2,few hours a day,3,15,0,male,city
203,5,3,5,2,3,3,2,3,3,few hours a day,3,19,1,female,city
204,5,1,5,1,4,3,4,3,3,few hours a day,3,24,1,female,city
205,5,1,5,5,1,2,1,3,4,few hours a day,5,19,1,female,city
206,5,1,5,5,4,3,3,3,2,few hours a day,4,25,3,male,village
207,5,1,5,5,1,5,5,4,4,few hours a day,4,20,1,female,city
208,5,1,3,3,1,5,5,3,3,less than an hour a day,1,19,2,female,village
209,5,2,5,4,4,3,5,4,2,few hours a day,5,21,1,male,village
210,5,5,5,5,4,5,5,3,5,few hours a day,3,23,2,male,village
211,5,4,5,1,1,4,5,3,4,few hours a day,2,21,1,female,village
212,5,2,5,5,5,1,4,2,3,most of the day,3,20,1,male,city
213,5,5,5,3,3,4,3,4,4,few hours a day,5,20,1,female,village
214,4,1,5,4,3,3,5,4,3,less than an hour a day,3,18,3,female,city
215,1,1,4,3,1,1,1,2,3,few hours a day,1,27,2,male,city
216,5,2,4,3,3,1,4,3,3,few hours a day,3,17,0,female,city
217,5,2,5,2,2,5,5,3,1,few hours a day,3,19,1,female,village
218,5,3,5,2,2,5,1,4,4,few hours a day,2,18,2,male,village
219,5,5,5,5,1,,1,2,5,less than an hour a day,,26,1,male,city
220,5,1,5,3,1,5,2,2,4,few hours a day,2,18,2,male,village
221,5,4,5,3,4,4,2,2,2,few hours a day,1,30,2,male,city
222,5,1,5,2,2,1,2,5,4,few hours a day,4,24,1,female,city
223,5,2,5,4,3,5,1,2,2,few hours a day,4,20,0,female,village
224,5,1,5,2,1,1,1,4,2,few hours a day,4,20,1,male,village
225,5,2,5,3,4,3,4,3,3,few hours a day,3,20,1,male,village
226,5,3,5,2,1,5,1,5,4,few hours a day,3,25,1,,village
227,5,1,5,5,3,3,1,1,2,few hours a day,2,19,3,female,village
228,4,2,5,3,3,5,1,3,4,few hours a day,5,20,2,female,village
229,4,3,3,2,4,1,1,2,4,few hours a day,1,21,5,male,village
230,5,2,4,4,3,4,5,2,4,few hours a day,3,19,1,female,village
231,5,1,5,2,2,5,1,3,4,few hours a day,5,19,0,female,village
232,5,3,5,1,4,1,2,5,3,few hours a day,4,19,2,female,village
233,4,4,5,1,1,5,4,2,3,few hours a day,4,18,1,female,city
234,4,1,3,1,5,5,4,4,4,few hours a day,5,18,1,female,village
235,5,1,5,5,1,3,2,3,3,few hours a day,3,16,0,female,city
236,1,1,5,5,3,5,1,2,4,less than an hour a day,3,19,0,female,city
237,5,3,4,2,4,5,5,2,2,few hours a day,3,18,3,female,city
238,5,1,5,2,2,3,4,2,2,few hours a day,1,19,2,female,city
239,5,2,5,4,1,4,5,2,3,less than an hour a day,3,21,1,female,city
240,3,2,3,3,2,3,3,3,2,few hours a day,2,21,1,male,city
241,5,1,5,3,4,5,5,2,5,few hours a day,5,18,1,female,city
242,3,1,5,3,1,2,,3,4,less than an hour a day,5,21,0,female,city
243,,1,5,4,4,1,1,5,4,few hours a day,5,17,0,female,city
244,5,2,5,1,1,5,5,2,3,most of the day,3,20,0,female,city
245,5,1,5,3,1,5,1,3,3,less than an hour a day,1,19,1,female,city
246,5,1,5,5,5,5,4,2,3,few hours a day,4,27,0,male,city
247,5,2,5,3,1,1,2,3,3,few hours a day,3,22,2,female,city
248,5,3,5,5,2,3,3,3,4,few hours a day,3,19,2,female,city
249,5,2,5,4,1,5,5,3,4,no time at all,3,19,3,female,village
250,5,2,5,1,1,1,1,3,4,few hours a day,4,20,0,female,city
251,5,5,5,2,1,5,1,2,3,few hours a day,3,19,2,female,village
252,5,2,5,3,1,5,4,5,3,few hours a day,5,20,0,female,village
253,5,1,3,1,1,1,3,4,2,few hours a day,3,17,2,female,city
254,5,3,5,2,2,5,5,5,3,few hours a day,3,23,2,female,village
255,5,1,5,2,2,3,3,3,4,few hours a day,5,20,2,female,city
256,5,1,3,3,1,1,5,1,3,few hours a day,1,20,1,female,city
257,5,5,5,4,5,1,2,2,3,few hours a day,4,19,2,male,city
258,5,1,5,2,4,2,1,2,2,most of the day,4,20,1,female,city
259,2,1,3,5,1,1,1,3,3,few hours a day,4,19,4,male,village
260,3,3,3,3,1,3,3,3,3,few hours a day,3,19,0,male,city
261,5,1,5,3,4,5,3,4,3,few hours a day,2,18,1,female,city
262,5,3,4,3,3,3,4,5,4,few hours a day,3,19,1,female,city
263,5,3,5,1,3,3,4,1,3,few hours a day,1,15,3,female,city
264,3,3,5,2,2,5,4,3,3,few hours a day,3,19,1,female,village
265,5,1,5,1,2,5,4,3,3,most of the day,5,15,1,female,city
266,5,1,5,3,4,4,3,4,4,few hours a day,2,19,1,female,city
267,5,2,4,4,3,5,1,1,2,few hours a day,3,21,2,female,city
268,5,1,4,1,5,5,5,2,3,few hours a day,4,19,2,female,city
269,5,2,5,3,2,3,2,3,2,few hours a day,4,17,1,female,village
270,5,2,5,3,1,5,5,3,3,few hours a day,2,23,1,female,city
271,5,1,5,4,2,5,2,2,3,less than an hour a day,4,24,0,male,village
272,5,1,5,3,3,5,2,3,3,less than an hour a day,4,19,1,female,city
273,5,4,5,3,2,1,4,3,4,few hours a day,3,19,2,female,city
274,5,2,4,5,1,4,4,2,2,few hours a day,4,22,0,female,city
275,5,4,5,5,2,2,4,4,2,few hours a day,2,20,1,female,city
276,5,1,5,4,3,1,3,4,3,few hours a day,1,21,2,female,village
277,5,2,5,5,2,1,5,4,3,few hours a day,4,19,0,male,city
278,5,3,5,4,3,5,1,3,4,few hours a day,3,19,2,male,village
279,5,2,4,3,1,5,2,4,3,few hours a day,3,20,1,female,city
280,5,5,4,3,1,4,5,5,3,few hours a day,3,18,1,female,city
281,5,3,4,2,1,5,2,4,3,few hours a day,2,19,1,male,city
282,5,1,3,1,1,5,5,3,3,less than an hour a day,4,20,2,female,city
283,5,3,5,2,5,1,1,1,3,few hours a day,3,22,1,male,city
284,1,1,5,2,4,4,3,1,3,most of the day,5,20,2,male,city
285,5,1,5,2,2,5,5,2,3,few hours a day,4,20,2,female,city
286,5,1,5,4,1,5,4,3,1,few hours a day,2,27,1,female,city
287,5,3,5,4,1,4,5,3,3,few hours a day,3,19,1,female,city
288,5,5,4,2,1,3,3,3,3,few hours a day,3,22,2,male,city
289,5,2,4,5,1,4,1,2,2,most of the day,1,19,0,male,city
290,4,1,5,4,1,2,1,4,4,few hours a day,1,20,1,female,city
291,4,2,4,4,2,3,2,2,3,few hours a day,3,20,1,male,village
292,5,2,5,3,1,5,4,3,4,few hours a day,4,21,1,female,city
293,5,1,5,4,5,5,2,4,1,few hours a day,3,16,1,female,village
294,5,1,3,5,1,5,5,4,2,less than an hour a day,3,19,1,female,city
295,5,1,5,3,1,5,3,2,4,few hours a day,3,18,1,female,village
296,5,5,5,4,4,4,1,1,3,few hours a day,1,23,1,male,city
297,5,4,5,1,3,3,1,4,3,few hours a day,2,19,0,male,village
298,5,2,5,3,1,5,3,3,3,less than an hour a day,4,19,0,female,city
299,5,1,5,3,1,4,5,2,4,few hours a day,3,22,1,female,city
300,5,1,3,3,3,2,1,2,3,most of the day,4,18,1,female,city
301,4,1,5,5,2,3,1,2,4,few hours a day,4,20,1,male,city
302,5,1,5,3,1,1,1,3,4,less than an hour a day,3,19,1,female,village
303,4,1,5,4,5,5,4,4,4,few hours a day,4,25,1,female,city
304,5,1,5,4,1,1,3,3,1,few hours a day,3,18,2,female,city
305,5,1,5,5,4,5,2,3,3,few hours a day,2,20,0,female,city
306,5,4,5,3,4,5,5,4,4,few hours a day,4,15,1,female,city
307,5,1,5,2,5,1,5,5,4,few hours a day,4,19,2,female,city
308,5,4,4,3,2,3,3,3,4,few hours a day,3,19,2,female,city
309,5,2,4,2,3,1,1,2,3,few hours a day,3,16,0,female,village
310,5,5,3,1,2,5,3,4,4,few hours a day,3,19,1,male,city
311,5,2,5,5,3,2,5,3,4,few hours a day,3,18,0,female,city
312,2,2,5,2,2,3,2,3,3,few hours a day,2,15,1,male,city
313,5,2,5,3,1,3,5,2,4,few hours a day,3,20,1,female,city
314,5,5,5,5,5,5,2,2,4,few hours a day,3,20,2,male,village
315,5,1,4,4,1,1,5,3,4,few hours a day,1,20,1,male,city
316,5,4,4,3,2,5,3,2,3,less than an hour a day,3,20,1,female,city
317,5,4,5,1,3,5,1,3,4,few hours a day,3,19,2,male,city
318,5,2,5,3,3,5,5,3,3,less than an hour a day,3,16,0,female,city
319,5,3,5,3,1,3,5,1,5,few hours a day,3,18,1,female,city
320,5,4,5,5,3,3,1,3,4,few hours a day,5,20,0,male,village
321,5,3,5,4,1,5,5,3,4,few hours a day,2,16,0,female,city
322,5,1,4,5,1,5,2,2,4,few hours a day,2,18,1,female,city
323,5,1,3,2,3,5,4,4,3,few hours a day,4,20,1,male,village
324,5,2,5,1,2,3,2,3,4,few hours a day,3,18,1,female,city
325,5,4,4,5,1,5,2,3,4,less than an hour a day,4,19,1,male,village
326,5,3,5,4,4,4,1,1,4,few hours a day,3,19,0,female,city
327,5,1,5,3,2,5,5,3,3,few hours a day,5,20,1,female,city
328,5,1,5,1,5,1,1,3,3,few hours a day,5,18,0,male,city
329,5,3,5,3,2,4,2,5,3,few hours a day,2,17,1,female,city
330,5,3,5,4,1,5,5,2,3,few hours a day,3,22,0,female,city
331,5,4,5,2,3,5,3,3,3,few hours a day,3,17,1,male,village
332,4,1,5,3,4,5,3,5,4,few hours a day,5,22,2,female,village
333,5,2,4,5,3,5,3,3,5,few hours a day,3,16,1,female,city
334,5,1,5,4,1,2,4,5,4,few hours a day,4,24,1,female,city
335,5,4,5,5,3,3,1,4,2,few hours a day,3,17,1,male,city
336,5,4,5,1,5,4,5,2,4,few hours a day,5,17,1,male,city
337,5,5,5,3,4,5,3,2,1,few hours a day,1,17,2,male,city
338,5,2,5,2,3,1,2,4,3,few hours a day,1,15,3,female,city
339,5,1,5,5,1,5,2,3,4,few hours a day,2,18,2,female,city
340,5,1,4,5,1,1,5,2,3,few hours a day,4,18,2,female,village
341,5,5,5,3,1,2,5,5,2,most of the day,1,16,1,male,village
342,5,3,3,2,4,5,5,2,4,most of the day,3,20,1,female,city
343,5,1,4,2,1,5,3,3,4,less than an hour a day,3,29,2,female,city
344,5,1,4,1,1,1,3,2,4,few hours a day,5,24,3,female,village
345,4,3,4,3,3,4,1,3,3,less than an hour a day,4,18,0,female,city
346,5,4,5,5,1,5,1,2,3,few hours a day,1,17,1,male,city
347,5,2,5,2,2,1,2,4,3,most of the day,1,18,1,male,city
348,5,2,5,3,3,4,5,3,3,few hours a day,2,16,1,male,city
349,5,4,5,3,2,5,5,2,4,few hours a day,3,17,2,female,city
350,2,2,5,2,2,3,1,2,3,most of the day,3,20,2,male,city
351,5,1,5,3,5,5,5,3,4,few hours a day,4,16,1,female,village
352,5,1,5,1,1,2,3,4,3,few hours a day,3,19,1,male,city
353,5,1,5,4,2,3,3,4,4,few hours a day,3,18,1,female,city
354,5,3,5,3,4,4,3,1,5,few hours a day,4,20,1,female,city
355,5,2,5,4,4,1,5,3,5,few hours a day,4,19,1,male,city
356,4,2,4,5,5,3,1,1,3,few hours a day,3,18,1,male,city
357,5,3,4,1,3,5,5,3,4,few hours a day,2,21,0,male,city
358,4,2,5,5,2,5,4,3,4,less than an hour a day,4,19,2,male,city
359,5,2,5,5,1,5,5,3,3,few hours a day,1,20,2,female,city
360,5,1,5,4,5,2,2,4,4,few hours a day,3,23,1,female,city
361,5,1,5,4,1,5,1,1,3,less than an hour a day,4,19,1,female,village
362,5,2,5,5,1,3,5,3,4,few hours a day,5,19,2,female,city
363,5,1,5,5,1,3,5,3,4,few hours a day,5,19,2,female,city
364,2,2,5,3,2,1,4,4,4,few hours a day,4,20,2,male,city
365,5,2,5,5,1,1,1,2,3,few hours a day,3,24,5,male,village
366,5,3,5,1,5,1,1,3,5,most of the day,4,19,1,male,city
367,5,3,5,5,1,3,1,3,4,few hours a day,5,20,2,male,village
368,5,,5,3,1,5,1,3,4,few hours a day,4,18,1,female,
369,5,5,4,4,4,5,2,2,3,less than an hour a day,4,17,1,male,village
370,5,1,5,4,2,5,5,2,3,few hours a day,3,19,2,female,village
371,5,2,5,2,5,3,2,1,3,few hours a day,3,19,4,female,village
372,4,4,4,3,1,1,1,2,2,most of the day,3,20,2,male,city
373,5,1,5,5,1,1,2,4,3,most of the day,4,20,0,male,city
374,5,3,5,2,1,5,5,4,4,few hours a day,1,21,1,female,city
375,5,,5,2,3,1,5,2,3,few hours a day,4,20,2,female,city
376,5,1,5,2,1,5,5,2,4,few hours a day,1,20,1,female,city
377,5,1,5,3,5,4,1,4,3,few hours a day,3,17,0,female,village
378,5,3,5,4,5,5,2,2,4,few hours a day,2,20,2,female,city
379,5,2,5,3,3,3,2,3,4,few hours a day,3,25,2,male,city
380,5,5,5,3,2,4,2,2,3,most of the day,4,20,1,female,city
381,5,1,5,5,2,5,2,1,3,few hours a day,2,21,1,female,city
382,5,4,5,4,1,5,5,2,4,few hours a day,2,21,0,female,village
383,5,2,5,1,5,1,2,2,3,most of the day,3,22,1,male,city
